Game,Genres/Tags,Companies,Languages,Original Size,Repack Size,URL
The Thief In The Dark,"Action, Adventure, First-Person, 3D",,,6.8 GB,6.8 GB,https://fitgirl-repacks.site/the-thief-in-the-dark
The Thing That Happened,"Action, Shooter, Open world, Survival, Third-person, 3D, Post-apocalypse, Science fiction, Zombies",,"Genres/Tags: Action , Shooter , Open world , Survival , Third-person , 3D , Post-apocalypse , Science fiction , Zombies Company: Jericho Game Development Languages: ENG/MULTI4 Original Size: 18.3 GB Repack Size: 12.1 GB",18.3 GB,18.3 GB,https://fitgirl-repacks.site/the-thing-that-happened
The Thing: Remastered – v1.0.1561.1369,"Action, Shooter, Third-person, 3D, Horror","Genres/Tags: Action , Shooter , Third-person , 3D , Horror Companies: Computer Artworks, Nightdive Studios Languages: ENG/MULTI5 Original Size: 2.8 GB Repack Size: 1.6/1.8 GB","Genres/Tags: Action , Shooter , Third-person , 3D , Horror Companies: Computer Artworks, Nightdive Studios Languages: ENG/MULTI5 Original Size: 2.8 GB Repack Size: 1.6/1.8 GB",2.8 GB,2.8 GB,https://fitgirl-repacks.site/the-thing-remastered
The Town of Light – Build 7361644 + Bonus Content,"Adventure, First-person, Horror, Psychological, 3D, 1337x, magnet, .torrent file only, RuTor, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: PixelDrain, Filehoster: ZippyShare, Filehoster: LetsUpload, Filehoster: OneDrive, Discussion and (possible) future updates on CS.RIN.RU thread, https://www.youtube.com/watch?v=j8YUzMZHY8A","Genres/Tags: Adventure , First-person , Horror , Psychological , 3D Companies: LKA, Wired Productions Languages: RUS/ENG/MULTI12 Original Size: 4.4 GB Repack Size: from 2.2 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: PixelDrain Filehoster: ZippyShare Filehoster: LetsUpload [Use JDownloader2 ] Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), NOT compatible with other mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on The.Town.of.Light.Enhanced-PLAZA ISO release: plaza-the.town.of.light.enhanced.iso (4,708,171,776 bytes) Game version: Build SteamID 7361644 from September 15, 2021 Optional Russian fan-made localization v0.9 by ZoG Forum Team is available after installation, run “Convert to Russian.bat” to convert the installed game from English to Russian 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of Live Action advertising video ( https://www.youtube.com/watch?v=j8YUzMZHY8A ) and bonus content Significantly smaller archive size (compressed from 4.4 to 2.2~2.8 GB, depending on selected components) Installation takes 3-5 minutes (depending on your system) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 7.4 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description 12 March 1938. Renée, 16 years old, is ripped out of her world, locked up and deprived of everything. Her only fault was that she didn’t know what her place in the world was. “A danger to herself and others and a cause of public scandal” wrote the police headquarters. The only horror you will find in this game is the truth: a blow to the solar plexus, much more intense than any supernatural presence The Town of Light is a psychological adventure told in the first person. The story is set in Italy in the first half of the 20th Century in a place which really existed and has been meticulously reconstructed. Exploring and interacting with the environment you will relive the history of the main character through her confused viewpoint and on the basis of your choices, the story will develop in different ways. Because of its contents, the game is intended only for adult users. Game Features Realistic 3d graphics Based on real facts and events. Strong narrative component No zombies or supernatural presences. Original sound track. Included Content: Renèe’s Diary Official Soundtrack Artbook","Genres/Tags: Adventure , First-person , Horror , Psychological , 3D Companies: LKA, Wired Productions Languages: RUS/ENG/MULTI12 Original Size: 4.4 GB Repack Size: from 2.2 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: PixelDrain Filehoster: ZippyShare Filehoster: LetsUpload [Use JDownloader2 ] Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), NOT compatible with other mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on The.Town.of.Light.Enhanced-PLAZA ISO release: plaza-the.town.of.light.enhanced.iso (4,708,171,776 bytes) Game version: Build SteamID 7361644 from September 15, 2021 Optional Russian fan-made localization v0.9 by ZoG Forum Team is available after installation, run “Convert to Russian.bat” to convert the installed game from English to Russian 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of Live Action advertising video ( https://www.youtube.com/watch?v=j8YUzMZHY8A ) and bonus content Significantly smaller archive size (compressed from 4.4 to 2.2~2.8 GB, depending on selected components) Installation takes 3-5 minutes (depending on your system) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 7.4 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description 12 March 1938. Renée, 16 years old, is ripped out of her world, locked up and deprived of everything. Her only fault was that she didn’t know what her place in the world was. “A danger to herself and others and a cause of public scandal” wrote the police headquarters. The only horror you will find in this game is the truth: a blow to the solar plexus, much more intense than any supernatural presence The Town of Light is a psychological adventure told in the first person. The story is set in Italy in the first half of the 20th Century in a place which really existed and has been meticulously reconstructed. Exploring and interacting with the environment you will relive the history of the main character through her confused viewpoint and on the basis of your choices, the story will develop in different ways. Because of its contents, the game is intended only for adult users. Game Features Realistic 3d graphics Based on real facts and events. Strong narrative component No zombies or supernatural presences. Original sound track. Included Content: Renèe’s Diary Official Soundtrack Artbook",4.4 GB,4.4 GB,https://fitgirl-repacks.site/the-town-of-light
The Trials,"Logic, Puzzle, First-person, 3D",,,2 GB,2 GB,https://fitgirl-repacks.site/the-trials
The Tribe Must Survive: Supporter Pack – v1.0.16 + Bonus Content,"Managerial, Strategy, Survival, 2D","Genres/Tags: Managerial , Strategy , Survival , 2D Companies: Walking Tree Games, Starbreeze Studios Languages: ENG/MULTI6 Requires Windows 8+ Original Size: 1.7 GB Repack Size: 452 MB","Genres/Tags: Managerial , Strategy , Survival , 2D Companies: Walking Tree Games, Starbreeze Studios Languages: ENG/MULTI6 Requires Windows 8+ Original Size: 1.7 GB Repack Size: 452 MB",1.7 GB,1.7 GB,https://fitgirl-repacks.site/the-tribe-must-survive
The Troop – Build 20250929 + 2 DLCs,"Strategy, Tactics, World War II, Turn-based, Isometric, 3D","Genres/Tags: Strategy , Tactics , World War II , Turn-based , Isometric , 3D Companies: Giant Flame, PLA Studios Languages: RUS/ENG/MULTi10 Original Size: 10 GB Repack Size: 3.2 GB","Genres/Tags: Strategy , Tactics , World War II , Turn-based , Isometric , 3D Companies: Giant Flame, PLA Studios Languages: RUS/ENG/MULTi10 Original Size: 10 GB Repack Size: 3.2 GB",10 GB,10 GB,https://fitgirl-repacks.site/the-troop
The Turing Test: Collector’s Edition,"Logic, Puzzle, Physics-based, First-person, 3D, ExtraTorrent, magnet, .torrent file only, Tapochek.net, FreeTorrents, Filehoster: MegaUpload","Genres/Tags: Logic , Puzzle , Physics-based , First-person , 3D Companies: Bulkhead Interactive / Square Enix Language: ENG Original Size: 5.8 GB Repack Size: from 2.76 GB [Selective Download] Download Mirrors ExtraTorrent [ magnet ] [ .torrent file only ] Tapochek.net [ magnet ] FreeTorrents Filehoster: MegaUpload (10+ hosters, interchangeable) SELECTIVE/OPTIONAL BIN FIXED Screenshots (Click to enlarge) Repack Features Based on The.Turing.Test-CODEX ISO release: codex-the.turing.test.iso (6,249,971,712 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation (but bonus FLAC OST) FLAC-format bonus OST files ripped, NOTHING re-encoded Upgrade Pack DLC (MP3-format OST, ArtBook and Game Prototype) made an optional download Significantly smaller archive size (compressed from 5.8 to 2.76/3.12 GB) Installation takes 5-10 minutes (depending on your system) After-install integrity check so you could make sure that everything installed properly HDD space after installation: 11 GB Game Description The Turing Test is a challenging first-person puzzle game set on Jupiter’s moon, Europa. You are Ava Turing, an engineer for the International Space Agency (ISA) sent to discover the cause behind the disappearance of the ground crew stationed there.",,5.8 GB,5.8 GB,https://fitgirl-repacks.site/turing-test-collectors-edition
The Unbeatable Path,"Adventure, First-person, 3D, Horror",,"Genres/Tags: Adventure , First-person , 3D , Horror Company: RecklessGames Languages: ENG/GER Original Size: 37.3 GB Repack Size: 15.8 GB",37.3 GB,37.3 GB,https://fitgirl-repacks.site/the-unbeatable-path
The Uncertain: Light At The End,"Adventure, 3D","Genres/Tags: Adventure , 3D Companies: New Game Order, META Publishing Languages: RUS/ENG/MULTI9 Original Size: 11.1 GB Repack Size: 5 GB","Genres/Tags: Adventure , 3D Companies: New Game Order, META Publishing Languages: RUS/ENG/MULTI9 Original Size: 11.1 GB Repack Size: 5 GB",11.1 GB,11.1 GB,https://fitgirl-repacks.site/the-uncertain-light-at-the-end
The Uncertain: The Last Quiet Day – v1.0.7 + Bonus Content,"Adventure, Third-person, 3D, Post-apocalypse","Genres/Tags: Adventure , Third-person , 3D , Post-apocalypse Companies: ComonGames Languages: RUS/ENG/MULTi9 Original Size: 7.5 GB Repack Size: 2.6 GB","Genres/Tags: Adventure , Third-person , 3D , Post-apocalypse Companies: ComonGames Languages: RUS/ENG/MULTi9 Original Size: 7.5 GB Repack Size: 2.6 GB",7.5 GB,7.5 GB,https://fitgirl-repacks.site/the-uncertain-last-quiet-day
The Unfinished Swan,"Logic, First-person, 3D","Genres/Tags: Logic , First-person , 3D Companies: Giant Sparrow, SCE Santa Monica Studio, Annapurna Interactive Languages: RUS/ENG/MULTI11 Original Size: 8.1 GB Repack Size: 1.3 GB","Genres/Tags: Logic , First-person , 3D Companies: Giant Sparrow, SCE Santa Monica Studio, Annapurna Interactive Languages: RUS/ENG/MULTI11 Original Size: 8.1 GB Repack Size: 1.3 GB",8.1 GB,8.1 GB,https://fitgirl-repacks.site/the-unfinished-swan
The Unholy Priest,"Lifestyle, First-person, 3D",,"Genres/Tags: Lifestyle , First-person , 3D Company: Grejuva Languages: RUS/ENG/MULTI29 Original Size: 2.8 GB Repack Size: 1.2 GB",2.8 GB,2.8 GB,https://fitgirl-repacks.site/the-unholy-priest
The Universim – v1.0.00.46017 (Release),"Strategy, God sim, Sandbox, 3D, Real-time",,"Genres/Tags: Strategy , God sim , Sandbox , 3D , Real-time Company: Crytivo Languages: RUS/ENG/MULTI8 Original Size: 2.9 GB Repack Size: 1.9 GB",2.9 GB,2.9 GB,https://fitgirl-repacks.site/the-universim
The Unknown,"Adventure, Arcade, First-person, 3D",,,3.3 GB,3.3 GB,https://fitgirl-repacks.site/the-unknown
The Unliving – v1.0.2892023 + Bonus Content,"Action, RPG, Retro, Top-down, 2D","Genres/Tags: Action , RPG , Retro , Top-down , 2D Companies: RocketBrush Studio, Team17 Digital Languages: RUS/ENG/MULTI10 Original Size: 3.7 GB Repack Size: 371/499 MB","Genres/Tags: Action , RPG , Retro , Top-down , 2D Companies: RocketBrush Studio, Team17 Digital Languages: RUS/ENG/MULTI10 Original Size: 3.7 GB Repack Size: 371/499 MB",3.7 GB,3.7 GB,https://fitgirl-repacks.site/the-unliving
The Vale: Shadow of the Crown,"Action, Adventure, RPG, 2D","Genres/Tags: Action , Adventure , RPG , 2D Companies: Falling Squirrel, Creative Bytes Studios Languages: ENG Original Size: 527 MB Repack Size: 385 MB","Genres/Tags: Action , Adventure , RPG , 2D Companies: Falling Squirrel, Creative Bytes Studios Languages: ENG Original Size: 527 MB Repack Size: 385 MB",527 MB,527 MB,https://fitgirl-repacks.site/the-vale-shadow-of-the-crown
The Valiant – v1.03.47071,"Strategy, Medieval, Real-time, Isometric, 3D","Genres/Tags: Strategy , Medieval , Real-time , Isometric , 3D Companies: KITE Games, THQ Nordic Languages: RUS/ENG/MULTI13 Original Size: 19.3 GB Repack Size: 13.3 GB","Genres/Tags: Strategy , Medieval , Real-time , Isometric , 3D Companies: KITE Games, THQ Nordic Languages: RUS/ENG/MULTI13 Original Size: 19.3 GB Repack Size: 13.3 GB",19.3 GB,19.3 GB,https://fitgirl-repacks.site/the-valiant
The Vault: Logic Puzzle Box,"Puzzle, Logic, 3D, First-person",,"Genres/Tags: Puzzle , Logic , 3D , First-person Company: Peaksel Languages: RUS/ENG/MULTI10 Original Size: 1.9 GB Repack Size: 818 MB",1.9 GB,1.9 GB,https://fitgirl-repacks.site/the-vault-logic-puzzle-box
The Walking Dead: A New Frontier – Complete Season,"Adventure, Third-person, 3D, Horror",,"Genres/Tags: Adventure , Third-person , 3D , Horror Company: Telltale Games Languages: RUS/ENG/MULTI9 Original Size: 16.31 GB Repack Size: 5.25 GB",16.31 GB,16.31 GB,https://fitgirl-repacks.site/walking-dead-new-frontier-complete-season
The Walking Dead: Destinies – v1.2.0.6,"Action, Third-person, 3D, Zombies","Genres/Tags: Action , Third-person , 3D , Zombies Companies: Flux Games, GameMill Publishing Languages: ENG/MULTI7 Original Size: 37.1 GB Repack Size: 30 GB","Genres/Tags: Action , Third-person , 3D , Zombies Companies: Flux Games, GameMill Publishing Languages: ENG/MULTI7 Original Size: 37.1 GB Repack Size: 30 GB",37.1 GB,37.1 GB,https://fitgirl-repacks.site/the-walking-dead-destinies
"The Walking Dead: The Final Season (All Episodes, 1-4)","Adventure, Third-person, 3D, Horror, 1337x, KAT, magnet, .torrent file only, RuTor, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: Upera, Filehosters: Google Drive + 2, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: Adventure , Third-person , 3D , Horror Companies: Telltale Games, Skybound Entertainment Languages: RUS/ENG/MULTI9 Original Size: 14.4 GB Repack Size: from 5.4 GB [Selective Download] Download Mirrors 1337x | KAT [ magnet ] [ .torrent file only ] All 5 VO RuTor [ magnet ] Eng VO Only Tapochek.net Eng VO Only Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] All 5 VO Filehoster: Upera (Uploaded by Nice_2000, NOT compatible with other mirrors) Filehosters: Google Drive + 2 (Uploaded by Uria Urikra, compatible with torrent) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on The.Walking.Dead.The.Final.Season.Episode.4-CODEX ISO release: codex-the.walking.dead.the.final.season.episode.4.iso (14,747,762,688 bytes) Missing voiceovers packs (661 MB) added, thanks to Rui! All four episodes included, the series is complete 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of optional voiceover packs Significantly smaller archive size (compressed from cumulative 14.4 to 5.4~6.1 GB, depending on selected components) Installation takes ~10 minutes on 8-threads CPU; ~18 minutes on 4-threads CPU After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 15 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack ATTENTION! If you’re installing this repack under Windows 10, run setup with compatibility set to Windows 7 Game Description Clementine, now a fierce and capable survivor, has reached the final chapter in her journey. After years on the road facing threats both living and dead, a secluded school might finally be her chance for a home. But protecting it will mean sacrifice. Clem must build a life and become a leader while still watching over AJ, an orphaned boy and the closest thing to family she has left. In this gripping and emotional final season, you will define your relationships, fight the undead, and determine how Clementine’s story ends.","Genres/Tags: Adventure , Third-person , 3D , Horror Companies: Telltale Games, Skybound Entertainment Languages: RUS/ENG/MULTI9 Original Size: 14.4 GB Repack Size: from 5.4 GB [Selective Download] Download Mirrors 1337x | KAT [ magnet ] [ .torrent file only ] All 5 VO RuTor [ magnet ] Eng VO Only Tapochek.net Eng VO Only Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] All 5 VO Filehoster: Upera (Uploaded by Nice_2000, NOT compatible with other mirrors) Filehosters: Google Drive + 2 (Uploaded by Uria Urikra, compatible with torrent) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on The.Walking.Dead.The.Final.Season.Episode.4-CODEX ISO release: codex-the.walking.dead.the.final.season.episode.4.iso (14,747,762,688 bytes) Missing voiceovers packs (661 MB) added, thanks to Rui! All four episodes included, the series is complete 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you can skip downloading and installing of optional voiceover packs Significantly smaller archive size (compressed from cumulative 14.4 to 5.4~6.1 GB, depending on selected components) Installation takes ~10 minutes on 8-threads CPU; ~18 minutes on 4-threads CPU After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 15 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack ATTENTION! If you’re installing this repack under Windows 10, run setup with compatibility set to Windows 7 Game Description Clementine, now a fierce and capable survivor, has reached the final chapter in her journey. After years on the road facing threats both living and dead, a secluded school might finally be her chance for a home. But protecting it will mean sacrifice. Clem must build a life and become a leader while still watching over AJ, an orphaned boy and the closest thing to family she has left. In this gripping and emotional final season, you will define your relationships, fight the undead, and determine how Clementine’s story ends.",14.4 GB,14.4 GB,https://fitgirl-repacks.site/the-walking-dead-the-final-season
The Walking Dead: The Telltale Definitive Series,"Adventure, QTE, Third-person, 3D, Horror, Filehoster: DataNodes, IDM, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part01.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part02.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part03.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part04.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part05.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part06.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part07.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part08.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part09.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part10.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part11.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part12.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part13.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part14.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part15.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part16.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part17.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part18.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part19.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part20.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part21.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part22.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part23.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part24.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part25.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part26.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part27.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part28.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part29.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part30.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part31.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part32.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part33.rar, The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part34.rar, fg-optional-brazilian.bin, fg-optional-chinese.bin, fg-optional-french.bin, fg-optional-german.bin, fg-optional-spanish.bin, fg-optional-useless-files.bin","Genres/Tags: Adventure , QTE , Third-person , 3D , Horror Companies: Telltale Games, Skybound Entertainment Languages: RUS/ENG/MULTI9 Original Size: 46.4 GB Repack Size: from 16.5 GB [Selective Download] Download Mirrors (Direct Links) Filehoster: DataNodes (Speed & Usability) [Use IDM ] Click to show direct links The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part01.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part02.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part03.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part04.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part05.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part06.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part07.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part08.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part09.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part10.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part11.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part12.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part13.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part14.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part15.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part16.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part17.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part18.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part19.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part20.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part21.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part22.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part23.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part24.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part25.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part26.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part27.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part28.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part29.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part30.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part31.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part32.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part33.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part34.rar fg-optional-brazilian.bin fg-optional-chinese.bin fg-optional-french.bin fg-optional-german.bin fg-optional-spanish.bin fg-optional-useless-files.bin","Genres/Tags: Adventure , QTE , Third-person , 3D , Horror Companies: Telltale Games, Skybound Entertainment Languages: RUS/ENG/MULTI9 Original Size: 46.4 GB Repack Size: from 16.5 GB [Selective Download] Download Mirrors (Direct Links) Filehoster: DataNodes (Speed & Usability) [Use IDM ] Click to show direct links The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part01.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part02.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part03.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part04.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part05.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part06.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part07.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part08.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part09.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part10.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part11.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part12.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part13.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part14.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part15.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part16.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part17.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part18.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part19.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part20.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part21.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part22.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part23.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part24.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part25.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part26.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part27.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part28.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part29.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part30.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part31.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part32.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part33.rar The_Walking_Dead_-_Definitive_Series_–_fitgirl-repacks.site_–_.part34.rar fg-optional-brazilian.bin fg-optional-chinese.bin fg-optional-french.bin fg-optional-german.bin fg-optional-spanish.bin fg-optional-useless-files.bin",46.4 GB,46.4 GB,https://fitgirl-repacks.site/the-walking-dead-the-telltale-definitive-series
The Walking Evil – v1.2,"Action, Survival, Fixed camera angles, Third-person, 3D",,"Genres/Tags: Action , Survival , Fixed camera angles , Third-person , 3D Company: indie_games_studio Languages: RUS/ENG/MULTI5 Original Size: 9 GB Repack Size: 4.8 GB",9 GB,9 GB,https://fitgirl-repacks.site/the-walking-evil
The Watchmaker + Ultimate Update,"Adventure, Third-person, Steampunk, 3D","Genres/Tags: Adventure , Third-person , Steampunk , 3D Companies: Micropsia Games SpA, BadLand Publishing Languages: RUS/ENG/MULTI7 Original Size: 3.2 GB Repack Size: 2.1 GB","Genres/Tags: Adventure , Third-person , Steampunk , 3D Companies: Micropsia Games SpA, BadLand Publishing Languages: RUS/ENG/MULTI7 Original Size: 3.2 GB Repack Size: 2.1 GB",3.2 GB,3.2 GB,https://fitgirl-repacks.site/the-watchmaker
